-47, 47, 55
-47, 46.5, 55
-47, 46, 55
-47, 45.5, 55
-47, 45, 55
-47, 44.5, 55
-47, 44, 55
-47, 43.5, 55
-47, 43, 55
-47, 42.5, 55
-47, 42, 55
-47, 41.5, 55
-47, 41, 55
-47, 40.5, 55
-47, 40, 55
-47, 39.5, 55
-47, 39, 55
-47, 38.5, 55
-47, 38, 55
-47, 37.5, 55
-47, 37, 55
-47, 36.5, 55
-47, 36, 55
-47, 35.5, 55
-47, 35, 55
-47, 34.5, 55
-47, 34, 55
-47, 33.5, 55
-47, 33, 55
-47, 32.5, 55
-47, 32, 55
-47, 31.5, 55
-47, 31, 55
-47, 30.5, 55
-47, 30, 55
-47, 29.5, 55
-47, 29, 55
-47, 28.5, 55
-47, 28, 55
-47, 27.5, 55
-47, 27, 55
-47, 26.5, 55
-47, 26, 55
-47, 25.5, 55
-47, 25, 55
-47, 24.5, 55
-47, 24, 55
-47, 23.5, 55
-47, 23, 55
-47, 22.5, 55
-47, 22, 55
-47, 21.5, 55
-47, 21, 55
-47, 20.5, 55
-47, 20, 55
-47, 19.5, 55
-47, 19, 55
-47, 18.5, 55
-47, 18, 55
-47, 17.5, 55
-47, 17, 55
-47, 16.5, 55
-47, 16, 55
-47, 15.5, 55
-47, 15, 55
-47, 14.5, 55
-47, 14, 55
-47, 13.5, 55
-47, 13, 55
-47, 12.5, 55
-47, 12, 55
-47, 11.5, 55
-47, 11, 55
-47, 10.5, 54.222
-47, 10, 53.038
-47, 9.5, 51.827
-47, 9, 50.587
-47, 8.5, 49.315
-47, 8, 48.01
-47, 7.5, 46.669
-47, 7, 45.288
-47, 6.5, 43.863
-47, 6, 42.391
-47, 5.5, 40.866
-47, 5, 39.281
-47, 4.5, 37.63
-47, 4, 35.903
-47, 3.5, 34.088
-47, 3, 32.171
-47, 2.5, 30.133
-47, 2, 27.946
-47, 1.5, 25.573
-47, 1, 22.956
-47, 0.5, 20
-47, 0, 0
-47, 0, 0
-47, -20, 0
endData
127
55
200
-47, 47, -47, 23.5, -47, 23.5, -47, 0
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":18,"robotHeight":16,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":0.5,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes (Skills)","signature":"V5RC 2025 - High Stakes (Skills)","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"gnNbOnRssb","x":-47,"y":47,"lock":false,"visible":true,"heading":5,"__type":"end-point"},{"uid":"sbAiCuo5su","x":-47,"y":0,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"LeCdJnb2dm"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":55},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"D3CRE5P8nU","lock":false,"visible":true}]}
